Title,Status,# Rooms,Area,# Car Spots,Condominium Fee,City,Neighborhood,Price,Description,URL
22,House_AD,,,215m²,,R$ 2.875,Recife,Ilha do Leite,R$ 11.000.,"House in Ilha do Leite, Recife",https://pe.olx.com.br/grande-recife/comercio-e-industria/sala-para-alugar-215-m-por-r-11-000-00-mes-ilha-do-leite-recife-pe-1006862634
23,House_AD,,,4784m²,,R$ 0,Recife,Santo Amaro,R$ 5.000.000.,"House in Santo Amaro, Recife",https://pe.olx.com.br/grande-recife/terrenos/terreno-para-desenvolvimento-imobiliario-4-784-m-santo-amaro-recife-pe-1008481059
24,House_AD,,,360m²,,R$ 0,Gravatá,Alpes Suiços,R$ 60.000.,"House in Alpes Suiços, Gravatá",https://pe.olx.com.br/grande-recife/terrenos/excelente-lote-com-360m-984168258
25,House_AD,For sale,4,171m²,3,R$ 1.700,Recife,Monteiro,R$ 1.499.000.,"House in Monteiro, Recife",https://pe.olx.com.br/grande-recife/imoveis/apartamento-para-venda-tem-171-metros-quadrados-com-4-quartos-em-monteiro-recife-pe-1007753195
26,House_AD,For rent,3,63m²,,,Recife,Cordeiro,R$ 2.500.,"House in Cordeiro, Recife",https://pe.olx.com.br/grande-recife/imoveis/alugo-mobiliado-no-cordeiro-padrao-queiroz-galvao-3-qts-63m-nascente-andar-alto-1015456321
27,House_AD,For sale,4,10m²,4,R$ 0,Recife,Casa Forte,R$ 1.430.000.,"House in Casa Forte, Recife",https://pe.olx.com.br/grande-recife/imoveis/edf-magda-suassuna-963818337
28,House_AD,For sale,2,53m²,,R$ 0,Recife,Imbiribeira,R$ 269.000.,"House in Imbiribeira, Recife",https://pe.olx.com.br/grande-recife/imoveis/grande-oportunidade-pre-lancamento-em-boa-viagem-2-quartos-suite-mensais-a-partir-r-49-996117766
29,House_AD,For sale,,40m²,,,Jaboatão dos Guararapes,Barra de Jangada,R$ 270.000.,"House in Barra de Jangada, Jaboatão dos Guararapes",https://pe.olx.com.br/grande-recife/imoveis/apartamento-com-varanda-estendida-piscina-borda-infinita-e-beira-mar-1015456316
30,House_AD,For rent,2,60m²,,R$ 400,Recife,Boa Viagem,R$ 950.,"House in Boa Viagem, Recife",https://pe.olx.com.br/grande-recife/imoveis/apartamento-para-aluguel-2-quartos-1-vaga-boa-viagem-recife-pe-989361787
31,House_AD,For sale,3,123m²,3,R$ 1.100,Recife,Casa Amarela,R$ 790.000.,"House in Casa Amarela, Recife",https://pe.olx.com.br/grande-recife/imoveis/edf-bellgio-988907583
32,House_AD,For rent,5,508m²,5,,Recife,Santo Amaro,R$ 10.000.,"House in Santo Amaro, Recife",https://pe.olx.com.br/grande-recife/imoveis/casa-comercial-com-6-dormitorios-para-alugar-508-m-por-r-10-000-mes-santo-amaro-rec-995435944
