Status,# Rooms,Area (m²),# Car Spots,Condominium Fee (BRL),City,Neighborhood,Price (BRL)
81,For sale,2.0,10.0,0,0.0,Olinda,Fragoso,180000.0
82,For sale,3.0,113.0,2.0,1125.0,Cabo de Santo Agostinho,Paiva,970000.0
83,For sale,4.0,167.0,2.0,0.0,Recife,Boa Viagem,500000.0
84,For sale,4.0,195.0,2.0,1400.0,Recife,Boa Viagem,1200000.0
85,For sale,3.0,220.0,3.0,1930.0,Recife,Boa Viagem,2700000.0
86,For sale,3.0,85.0,2.0,950.0,Recife,Casa Amarela,534000.0
87,For sale,3.0,65.0,0,450.0,Jaboatão dos Guararapes,Candeias,320000.0
88,For sale,2.0,47.0,0,465.0,Recife,Boa Viagem,350000.0
89,For sale,3.0,65.0,5.0,0.0,Recife,Boa Viagem,480000.0
90,For sale,3.0,65.0,5.0,0.0,Recife,Boa Viagem,480000.0
91,For sale,4.0,291.0,3.0,0.0,Recife,Boa Viagem,700000.0
92,For sale,4.0,365.0,4.0,0.0,Cabo de Santo Agostinho,Paiva,2300000.0
93,For sale,3.0,66.0,0,0.0,Jaboatão dos Guararapes,Barra de Jangada,350000.0
94,For sale,4.0,189.0,2.0,1300.0,Recife,Aflitos,590000.0
95,For sale,4.0,276.0,2.0,0.0,Recife,Boa Viagem,1200000.0
96,For sale,4.0,136.0,2.0,0.0,Recife,Boa Viagem,1180000.0
97,For sale,4.0,250.0,2.0,720.0,Gravatá,Gravatá Centro,1280000.0
98,For sale,2.0,45.0,0,0.0,Jaboatão dos Guararapes,Piedade,210000.0
99,For sale,4.0,136.0,2.0,1100.0,Recife,Espinheiro,1020000.0
100,For sale,,32.0,0,294.0,Ipojuca,Nossa Senhora do Ó,350000.0
101,For sale,,35.0,0,0.0,Recife,Tamarineira,300000.0
102,For sale,4.0,145.0,2.0,0.0,Recife,Boa Viagem,650000.0
103,For sale,4.0,200.0,3.0,1900.0,Recife,Monteiro,980000.0
104,For sale,4.0,221.0,2.0,0.0,Recife,Boa Viagem,1650000.0
105,For sale,3.0,180.0,2.0,0.0,Olinda,Jardim Atlântico,750000.0
106,For sale,5.0,200.0,0,0.0,Olinda,Ouro Preto,495000.0
107,For sale,3.0,67.0,0,560.0,Recife,Espinheiro,531186.0
108,For sale,3.0,86.0,2.0,0.0,Recife,Boa Viagem,837219.0
109,For sale,3.0,80.0,2.0,500.0,Recife,Boa Viagem,650000.0
110,For sale,3.0,110.0,0,650.0,Recife,Santo Amaro,390000.0
111,For sale,3.0,84.0,0,0.0,Recife,Torre,550000.0
112,For sale,3.0,85.0,2.0,600.0,Recife,Boa Viagem,525000.0
113,For sale,4.0,132.0,2.0,900.0,Recife,Boa Viagem,1390000.0
114,For sale,4.0,135.0,2.0,1620.0,Recife,Boa Viagem,1040000.0
115,For sale,4.0,112.0,2.0,0.0,Recife,Torre,800000.0
116,For sale,4.0,223.0,5.0,1900.0,Recife,Rosarinho,1300000.0
117,For sale,3.0,115.0,0,180.0,Jaboatão dos Guararapes,Piedade,300000.0
118,For sale,2.0,50.0,0,0.0,Recife,Iputinga,263126.0
119,For sale,4.0,218.0,3.0,0.0,Recife,Pina,3000000.0
120,For sale,3.0,96.0,0,970.0,Recife,Aflitos,350000.0
121,For sale,4.0,253.0,3.0,2780.0,Cabo de Santo Agostinho,Paiva,2700000.0
122,For sale,2.0,57.0,0,0.0,Igarassu,Cruz do Rebouças,150000.0
123,For sale,4.0,160.0,2.0,0.0,Olinda,Bairro Novo,450000.0
124,For sale,2.0,46.0,0,0.0,Recife,Torreão,287900.0
125,For sale,2.0,40.0,0,0.0,Recife,Boa Viagem,220000.0
126,For sale,4.0,155.0,0,14.0,Recife,Boa Viagem,2400000.0
127,For sale,3.0,480.0,5.0,0.0,Recife,Água Fria,600000.0
128,For sale,3.0,98.0,0,750.0,Recife,Boa Viagem,400000.0
129,For sale,3.0,80.0,0,0.0,Recife,Campo Grande,270000.0
130,For sale,4.0,210.0,3.0,0.0,Recife,Parnamirim,1750000.0
131,For sale,3.0,115.0,0,1200.0,Recife,Boa Viagem,460000.0
132,For sale,4.0,150.0,2.0,640.0,Gravatá,Nossa Senhora das Graças,530000.0
133,For sale,,32.0,0,800.0,Jaboatão dos Guararapes,Piedade,180000.0
134,For sale,4.0,165.0,2.0,1000.0,Jaboatão dos Guararapes,Piedade,1180000.0
135,For sale,4.0,225.0,3.0,1000.0,Recife,Espinheiro,1550000.0
136,For sale,3.0,125.0,2.0,400.0,Caruaru,Maurício de Nassau,350000.0
137,For sale,3.0,185.0,2.0,0.0,Caruaru,Pinheirópolis,470000.0
138,For sale,3.0,124.0,2.0,0.0,Caruaru,Manoel Bezerra Lopes,380000.0
139,For sale,2.0,100.0,0,180.0,Jaboatão dos Guararapes,Candeias,30000.0
140,For sale,,28.0,0,0.0,Recife,Boa Viagem,220000.0
141,For sale,2.0,54.0,0,433.0,Recife,Espinheiro,385000.0
142,For sale,3.0,97.0,2.0,0.0,Cabo de Santo Agostinho,Paiva,714000.0
143,For sale,2.0,1.0,0,0.0,Paulista,Tabajara,120000.0
144,For sale,4.0,130.0,3.0,0.0,Gravatá,Nossa Senhora das Graças,210000.0
145,For sale,2.0,49.0,0,0.0,Recife,Boa Viagem,395838.0
146,For sale,2.0,54.0,0,650.0,Recife,Encruzilhada,360000.0
147,For sale,3.0,105.0,2.0,1000.0,Recife,Boa Viagem,660000.0
148,For sale,3.0,61.0,0,0.0,Recife,Boa Vista,395000.0
149,For sale,3.0,120.0,2.0,850.0,Recife,Boa Viagem,850000.0
150,For sale,4.0,160.0,0,906.0,Recife,Boa Viagem,475000.0
151,For sale,2.0,65.0,0,407.0,Recife,Imbiribeira,390000.0
152,For sale,4.0,218.0,3.0,0.0,Recife,Boa Viagem,3050000.0
153,For sale,3.0,160.0,2.0,1500.0,Recife,Boa Viagem,1300000.0
154,For sale,4.0,150.0,2.0,0.0,Recife,Ipsep,520000.0
155,For sale,4.0,135.0,3.0,420.0,Jaboatão dos Guararapes,Piedade,350000.0
156,For sale,3.0,81.0,0,470.0,Recife,Campo Grande,250000.0
157,For sale,5.0,250.0,3.0,1700.0,Jaboatão dos Guararapes,Piedade,900000.0
158,For sale,3.0,88.0,2.0,740.0,Recife,Boa Viagem,700000.0
159,For sale,3.0,170.0,2.0,1000.0,Jaboatão dos Guararapes,Candeias,570000.0
160,For sale,3.0,88.0,2.0,800.0,Recife,Madalena,590000.0
161,For sale,4.0,171.0,3.0,1650.0,Recife,Monteiro,1700000.0
162,For sale,3.0,133.0,0,0.0,Recife,Boa Viagem,500000.0
163,For sale,2.0,100.0,2.0,0.0,Recife,Pina,380000.0
164,For sale,3.0,93.0,2.0,800.0,Recife,Boa Viagem,1195000.0
165,For sale,2.0,55.0,0,0.0,Paulista,Maria Farinha,140000.0
166,For sale,3.0,67.0,0,550.0,Recife,Campo Grande,270000.0
167,For sale,4.0,208.0,2.0,1250.0,Recife,Graças,630000.0
168,For sale,4.0,132.0,0,775.0,Recife,Boa Viagem,1390000.0
169,For sale,,46.0,0,315.0,Recife,Boa Vista,130000.0
